Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 01:14:57.698000,NOR,0 days 00:01:36.651000,11.0,1.0,,,0 days 00:00:28.697000,0 days 00:00:40.842000,0 days 00:00:27.112000,0 days 01:13:49.733000,0 days 01:14:30.575000,0 days 01:14:57.687000,278.0,259.0,248.0,280.0,True,MEDIUM,11.0,True,0 days 01:13:21.047000,2024-09-22 12:20:17.178,1.0,False
0 days 01:16:34.193000,NOR,0 days 00:01:36.495000,12.0,1.0,,,0 days 00:00:28.620000,0 days 00:00:40.879000,0 days 00:00:26.996000,0 days 01:15:26.307000,0 days 01:16:07.186000,0 days 01:16:34.182000,282.0,260.0,248.0,281.0,True,MEDIUM,12.0,True,0 days 01:14:57.698000,2024-09-22 12:21:53.829,1.0,False
0 days 01:18:10.863000,NOR,0 days 00:01:36.670000,13.0,1.0,,,0 days 00:00:28.639000,0 days 00:00:40.727000,0 days 00:00:27.304000,0 days 01:17:02.821000,0 days 01:17:43.548000,0 days 01:18:10.852000,280.0,260.0,247.0,280.0,False,MEDIUM,13.0,True,0 days 01:16:34.193000,2024-09-22 12:23:30.324,1.0,False
0 days 01:19:47.695000,NOR,0 days 00:01:36.832000,14.0,1.0,,,0 days 00:00:28.803000,0 days 00:00:40.825000,0 days 00:00:27.204000,0 days 01:18:39.655000,0 days 01:19:20.480000,0 days 01:19:47.684000,287.0,259.0,248.0,,False,MEDIUM,14.0,True,0 days 01:18:10.863000,2024-09-22 12:25:06.994,1.0,False
0 days 01:21:24.453000,NOR,0 days 00:01:36.758000,15.0,1.0,,,0 days 00:00:28.747000,0 days 00:00:40.861000,0 days 00:00:27.150000,0 days 01:20:16.431000,0 days 01:20:57.292000,0 days 01:21:24.442000,282.0,259.0,249.0,282.0,False,MEDIUM,15.0,True,0 days 01:19:47.695000,2024-09-22 12:26:43.826,1.0,False
0 days 01:23:01.077000,NOR,0 days 00:01:36.624000,16.0,1.0,,,0 days 00:00:28.723000,0 days 00:00:40.930000,0 days 00:00:26.971000,0 days 01:21:53.165000,0 days 01:22:34.095000,0 days 01:23:01.066000,281.0,260.0,250.0,280.0,False,MEDIUM,16.0,True,0 days 01:21:24.453000,2024-09-22 12:28:20.584,1.0,False
0 days 01:24:38.085000,NOR,0 days 00:01:37.008000,17.0,1.0,,,0 days 00:00:28.765000,0 days 00:00:40.959000,0 days 00:00:27.284000,0 days 01:23:29.831000,0 days 01:24:10.790000,0 days 01:24:38.074000,285.0,260.0,249.0,281.0,False,MEDIUM,17.0,True,0 days 01:23:01.077000,2024-09-22 12:29:57.208,1.0,False
0 days 01:26:15.153000,NOR,0 days 00:01:37.068000,18.0,1.0,,,0 days 00:00:28.859000,0 days 00:00:41.085000,0 days 00:00:27.124000,0 days 01:25:06.933000,0 days 01:25:48.018000,0 days 01:26:15.142000,286.0,261.0,250.0,282.0,False,MEDIUM,18.0,True,0 days 01:24:38.085000,2024-09-22 12:31:34.216,1.0,False
0 days 01:27:52.435000,NOR,0 days 00:01:37.282000,19.0,1.0,,,0 days 00:00:28.814000,0 days 00:00:41.200000,0 days 00:00:27.268000,0 days 01:26:43.956000,0 days 01:27:25.156000,0 days 01:27:52.424000,278.0,259.0,249.0,278.0,False,MEDIUM,19.0,True,0 days 01:26:15.153000,2024-09-22 12:33:11.284,1.0,False
0 days 01:29:29.322000,NOR,0 days 00:01:36.887000,20.0,1.0,,,0 days 00:00:28.735000,0 days 00:00:41.172000,0 days 00:00:26.980000,0 days 01:28:21.159000,0 days 01:29:02.331000,0 days 01:29:29.311000,280.0,261.0,250.0,280.0,False,MEDIUM,20.0,True,0 days 01:27:52.435000,2024-09-22 12:34:48.566,1.0,False
0 days 01:31:06.520000,NOR,0 days 00:01:37.198000,21.0,1.0,,,0 days 00:00:28.918000,0 days 00:00:41.088000,0 days 00:00:27.192000,0 days 01:29:58.229000,0 days 01:30:39.317000,0 days 01:31:06.509000,274.0,260.0,250.0,278.0,False,MEDIUM,21.0,True,0 days 01:29:29.322000,2024-09-22 12:36:25.453,1.0,False
0 days 01:32:43.635000,NOR,0 days 00:01:37.115000,22.0,1.0,,,0 days 00:00:28.812000,0 days 00:00:41.272000,0 days 00:00:27.031000,0 days 01:31:35.321000,0 days 01:32:16.593000,0 days 01:32:43.624000,276.0,260.0,251.0,279.0,False,MEDIUM,22.0,True,0 days 01:31:06.520000,2024-09-22 12:38:02.651,1.0,False
0 days 01:34:20.847000,NOR,0 days 00:01:37.212000,23.0,1.0,,,0 days 00:00:28.855000,0 days 00:00:41.138000,0 days 00:00:27.219000,0 days 01:33:12.479000,0 days 01:33:53.617000,0 days 01:34:20.836000,279.0,260.0,246.0,280.0,False,MEDIUM,23.0,True,0 days 01:32:43.635000,2024-09-22 12:39:39.766,1.0,False
0 days 01:35:58.374000,NOR,0 days 00:01:37.527000,24.0,1.0,,,0 days 00:00:28.974000,0 days 00:00:41.386000,0 days 00:00:27.167000,0 days 01:34:49.810000,0 days 01:35:31.196000,0 days 01:35:58.363000,280.0,261.0,249.0,281.0,False,MEDIUM,24.0,True,0 days 01:34:20.847000,2024-09-22 12:41:16.978,1.0,False
0 days 01:37:35.778000,NOR,0 days 00:01:37.404000,25.0,1.0,,,0 days 00:00:28.797000,0 days 00:00:41.373000,0 days 00:00:27.234000,0 days 01:36:27.160000,0 days 01:37:08.533000,0 days 01:37:35.767000,275.0,260.0,248.0,282.0,False,MEDIUM,25.0,True,0 days 01:35:58.374000,2024-09-22 12:42:54.505,1.0,False
0 days 01:39:13.038000,NOR,0 days 00:01:37.260000,26.0,1.0,,,0 days 00:00:28.828000,0 days 00:00:41.187000,0 days 00:00:27.245000,0 days 01:38:04.595000,0 days 01:38:45.782000,0 days 01:39:13.027000,281.0,261.0,248.0,283.0,False,MEDIUM,26.0,True,0 days 01:37:35.778000,2024-09-22 12:44:31.909,1.0,False
0 days 01:40:50.641000,NOR,0 days 00:01:37.603000,27.0,1.0,,,0 days 00:00:28.941000,0 days 00:00:41.425000,0 days 00:00:27.237000,0 days 01:39:41.968000,0 days 01:40:23.393000,0 days 01:40:50.630000,280.0,262.0,248.0,282.0,False,MEDIUM,27.0,True,0 days 01:39:13.038000,2024-09-22 12:46:09.169,1.0,False
0 days 01:42:28.169000,NOR,0 days 00:01:37.528000,28.0,1.0,,,0 days 00:00:28.917000,0 days 00:00:41.385000,0 days 00:00:27.226000,0 days 01:41:19.547000,0 days 01:42:00.932000,0 days 01:42:28.158000,276.0,261.0,248.0,283.0,False,MEDIUM,28.0,True,0 days 01:40:50.641000,2024-09-22 12:47:46.772,1.0,False
0 days 01:44:10.047000,NOR,0 days 00:01:41.878000,29.0,1.0,,,0 days 00:00:28.963000,0 days 00:00:41.543000,0 days 00:00:31.372000,0 days 01:42:57.121000,0 days 01:43:38.664000,0 days 01:44:10.036000,290.0,262.0,247.0,,False,MEDIUM,29.0,True,0 days 01:42:28.169000,2024-09-22 12:49:24.300,1.0,False
0 days 01:45:57.120000,NOR,0 days 00:01:47.073000,30.0,1.0,,0 days 01:45:49.453000,0 days 00:00:29.259000,0 days 00:00:41.876000,0 days 00:00:35.938000,0 days 01:44:39.295000,0 days 01:45:21.171000,0 days 01:45:57.109000,289.0,262.0,,281.0,False,MEDIUM,30.0,True,0 days 01:44:10.047000,2024-09-22 12:51:06.178,1.0,False
0 days 01:47:55.528000,NOR,0 days 00:01:58.408000,31.0,2.0,0 days 01:46:18.437000,,0 days 00:00:49.556000,0 days 00:00:41.249000,0 days 00:00:27.603000,0 days 01:46:46.665000,0 days 01:47:27.914000,0 days 01:47:55.517000,277.0,264.0,245.0,,False,HARD,1.0,True,0 days 01:45:57.120000,2024-09-22 12:52:53.251,1.0,False
0 days 01:49:32.562000,NOR,0 days 00:01:37.034000,32.0,2.0,,,0 days 00:00:28.851000,0 days 00:00:40.761000,0 days 00:00:27.422000,0 days 01:48:24.368000,0 days 01:49:05.129000,0 days 01:49:32.551000,281.0,264.0,245.0,283.0,False,HARD,2.0,True,0 days 01:47:55.528000,2024-09-22 12:54:51.659,1.0,False
0 days 01:51:09.246000,NOR,0 days 00:01:36.684000,33.0,2.0,,,0 days 00:00:28.703000,0 days 00:00:40.783000,0 days 00:00:27.198000,0 days 01:50:01.254000,0 days 01:50:42.037000,0 days 01:51:09.235000,276.0,262.0,249.0,284.0,False,HARD,3.0,True,0 days 01:49:32.562000,2024-09-22 12:56:28.693,1.0,False
0 days 01:52:45.960000,NOR,0 days 00:01:36.714000,34.0,2.0,,,0 days 00:00:28.639000,0 days 00:00:40.807000,0 days 00:00:27.268000,0 days 01:51:37.874000,0 days 01:52:18.681000,0 days 01:52:45.949000,280.0,263.0,246.0,286.0,False,HARD,4.0,True,0 days 01:51:09.246000,2024-09-22 12:58:05.377,1.0,False
0 days 01:54:22.484000,NOR,0 days 00:01:36.524000,35.0,2.0,,,0 days 00:00:28.570000,0 days 00:00:40.706000,0 days 00:00:27.248000,0 days 01:53:14.519000,0 days 01:53:55.225000,0 days 01:54:22.473000,285.0,262.0,247.0,,False,HARD,5.0,True,0 days 01:52:45.960000,2024-09-22 12:59:42.091,1.0,False
0 days 01:55:58.700000,NOR,0 days 00:01:36.216000,36.0,2.0,,,0 days 00:00:28.596000,0 days 00:00:40.535000,0 days 00:00:27.085000,0 days 01:54:51.069000,0 days 01:55:31.604000,0 days 01:55:58.689000,282.0,263.0,247.0,,True,HARD,6.0,True,0 days 01:54:22.484000,2024-09-22 13:01:18.615,1.0,False
0 days 01:57:35.135000,NOR,0 days 00:01:36.435000,37.0,2.0,,,0 days 00:00:28.512000,0 days 00:00:40.644000,0 days 00:00:27.279000,0 days 01:56:27.201000,0 days 01:57:07.845000,0 days 01:57:35.124000,285.0,263.0,246.0,287.0,False,HARD,7.0,True,0 days 01:55:58.700000,2024-09-22 13:02:54.831,1.0,False
0 days 01:59:11.845000,NOR,0 days 00:01:36.710000,38.0,2.0,,,0 days 00:00:28.596000,0 days 00:00:40.814000,0 days 00:00:27.300000,0 days 01:58:03.720000,0 days 01:58:44.534000,0 days 01:59:11.834000,283.0,265.0,247.0,286.0,False,HARD,8.0,True,0 days 01:57:35.135000,2024-09-22 13:04:31.266,1.0,False
0 days 02:00:49.170000,NOR,0 days 00:01:37.325000,39.0,2.0,,,0 days 00:00:28.744000,0 days 00:00:41.192000,0 days 00:00:27.389000,0 days 01:59:40.578000,0 days 02:00:21.770000,0 days 02:00:49.159000,284.0,266.0,247.0,285.0,False,HARD,9.0,True,0 days 01:59:11.845000,2024-09-22 13:06:07.976,1.0,False
0 days 02:02:26.364000,NOR,0 days 00:01:37.194000,40.0,2.0,,,0 days 00:00:28.722000,0 days 00:00:41.038000,0 days 00:00:27.434000,0 days 02:01:17.881000,0 days 02:01:58.919000,0 days 02:02:26.353000,289.0,266.0,250.0,284.0,False,HARD,10.0,True,0 days 02:00:49.170000,2024-09-22 13:07:45.301,1.0,False
0 days 02:04:02.934000,NOR,0 days 00:01:36.570000,41.0,2.0,,,0 days 00:00:28.598000,0 days 00:00:40.840000,0 days 00:00:27.132000,0 days 02:02:54.951000,0 days 02:03:35.791000,0 days 02:04:02.923000,309.0,272.0,248.0,289.0,False,HARD,11.0,True,0 days 02:02:26.364000,2024-09-22 13:09:22.495,1.0,False
0 days 02:05:39.338000,NOR,0 days 00:01:36.404000,42.0,2.0,,,0 days 00:00:28.560000,0 days 00:00:40.731000,0 days 00:00:27.113000,0 days 02:04:31.483000,0 days 02:05:12.214000,0 days 02:05:39.327000,290.0,263.0,249.0,284.0,False,HARD,12.0,True,0 days 02:04:02.934000,2024-09-22 13:10:59.065,1.0,False
0 days 02:07:15.948000,NOR,0 days 00:01:36.610000,43.0,2.0,,,0 days 00:00:28.776000,0 days 00:00:40.757000,0 days 00:00:27.077000,0 days 02:06:08.103000,0 days 02:06:48.860000,0 days 02:07:15.937000,285.0,264.0,249.0,,False,HARD,13.0,True,0 days 02:05:39.338000,2024-09-22 13:12:35.469,1.0,False
0 days 02:08:52.223000,NOR,0 days 00:01:36.275000,44.0,2.0,,,0 days 00:00:28.522000,0 days 00:00:40.586000,0 days 00:00:27.167000,0 days 02:07:44.459000,0 days 02:08:25.045000,0 days 02:08:52.212000,,264.0,249.0,285.0,False,HARD,14.0,True,0 days 02:07:15.948000,2024-09-22 13:14:12.079,1.0,False
0 days 02:10:29.151000,NOR,0 days 00:01:36.928000,45.0,2.0,,,0 days 00:00:28.592000,0 days 00:00:41.135000,0 days 00:00:27.201000,0 days 02:09:20.804000,0 days 02:10:01.939000,0 days 02:10:29.140000,288.0,264.0,251.0,288.0,False,HARD,15.0,True,0 days 02:08:52.223000,2024-09-22 13:15:48.354,1.0,False
0 days 02:12:05.104000,NOR,0 days 00:01:35.953000,46.0,2.0,,,0 days 00:00:28.332000,0 days 00:00:40.577000,0 days 00:00:27.044000,0 days 02:10:57.472000,0 days 02:11:38.049000,0 days 02:12:05.093000,287.0,262.0,248.0,284.0,True,HARD,16.0,True,0 days 02:10:29.151000,2024-09-22 13:17:25.282,1.0,False
0 days 02:13:41.671000,NOR,0 days 00:01:36.567000,47.0,2.0,,,0 days 00:00:28.577000,0 days 00:00:40.749000,0 days 00:00:27.241000,0 days 02:12:33.670000,0 days 02:13:14.419000,0 days 02:13:41.660000,289.0,260.0,254.0,,False,HARD,17.0,True,0 days 02:12:05.104000,2024-09-22 13:19:01.235,1.0,False
0 days 02:15:16.596000,NOR,0 days 00:01:34.925000,48.0,2.0,,,0 days 00:00:28.238000,0 days 00:00:40.206000,0 days 00:00:26.481000,0 days 02:14:09.898000,0 days 02:14:50.104000,0 days 02:15:16.585000,291.0,263.0,254.0,290.0,True,HARD,18.0,True,0 days 02:13:41.671000,2024-09-22 13:20:37.802,1.0,False
0 days 02:16:52.656000,NOR,0 days 00:01:36.060000,49.0,2.0,,,0 days 00:00:28.515000,0 days 00:00:40.596000,0 days 00:00:26.949000,0 days 02:15:45.100000,0 days 02:16:25.696000,0 days 02:16:52.645000,,265.0,252.0,287.0,False,HARD,19.0,True,0 days 02:15:16.596000,2024-09-22 13:22:12.727,1.0,False
0 days 02:18:28.967000,NOR,0 days 00:01:36.311000,50.0,2.0,,,0 days 00:00:28.500000,0 days 00:00:40.749000,0 days 00:00:27.062000,0 days 02:17:21.145000,0 days 02:18:01.894000,0 days 02:18:28.956000,288.0,263.0,252.0,285.0,False,HARD,20.0,True,0 days 02:16:52.656000,2024-09-22 13:23:48.787,1.0,False
0 days 02:20:05.570000,NOR,0 days 00:01:36.603000,51.0,2.0,,,0 days 00:00:28.507000,0 days 00:00:40.946000,0 days 00:00:27.150000,0 days 02:18:57.463000,0 days 02:19:38.409000,0 days 02:20:05.559000,289.0,265.0,252.0,284.0,False,HARD,21.0,True,0 days 02:18:28.967000,2024-09-22 13:25:25.098,1.0,False
0 days 02:21:41.762000,NOR,0 days 00:01:36.192000,52.0,2.0,,,0 days 00:00:28.497000,0 days 00:00:40.713000,0 days 00:00:26.982000,0 days 02:20:34.056000,0 days 02:21:14.769000,0 days 02:21:41.751000,288.0,265.0,251.0,285.0,False,HARD,22.0,True,0 days 02:20:05.570000,2024-09-22 13:27:01.701,1.0,False
0 days 02:23:18.197000,NOR,0 days 00:01:36.435000,53.0,2.0,,,0 days 00:00:28.491000,0 days 00:00:40.695000,0 days 00:00:27.249000,0 days 02:22:10.242000,0 days 02:22:50.937000,0 days 02:23:18.186000,287.0,266.0,250.0,,False,HARD,23.0,True,0 days 02:21:41.762000,2024-09-22 13:28:37.893,1.0,False
0 days 02:24:54.946000,NOR,0 days 00:01:36.749000,54.0,2.0,,,0 days 00:00:28.672000,0 days 00:00:41.034000,0 days 00:00:27.043000,0 days 02:23:46.858000,0 days 02:24:27.892000,0 days 02:24:54.935000,288.0,265.0,253.0,,False,HARD,24.0,True,0 days 02:23:18.197000,2024-09-22 13:30:14.328,1.0,False
0 days 02:26:31.732000,NOR,0 days 00:01:36.786000,55.0,2.0,,,0 days 00:00:28.613000,0 days 00:00:41.010000,0 days 00:00:27.163000,0 days 02:25:23.548000,0 days 02:26:04.558000,0 days 02:26:31.721000,291.0,268.0,252.0,286.0,False,HARD,25.0,True,0 days 02:24:54.946000,2024-09-22 13:31:51.077,1.0,False
0 days 02:28:08.929000,NOR,0 days 00:01:37.197000,56.0,2.0,,,0 days 00:00:28.723000,0 days 00:00:41.176000,0 days 00:00:27.298000,0 days 02:27:00.444000,0 days 02:27:41.620000,0 days 02:28:08.918000,295.0,267.0,252.0,,False,HARD,26.0,True,0 days 02:26:31.732000,2024-09-22 13:33:27.863,1.0,False
0 days 02:29:47.778000,NOR,0 days 00:01:38.849000,57.0,2.0,,,0 days 00:00:28.836000,0 days 00:00:41.398000,0 days 00:00:28.615000,0 days 02:28:37.754000,0 days 02:29:19.152000,0 days 02:29:47.767000,290.0,267.0,248.0,288.0,False,HARD,27.0,True,0 days 02:28:08.929000,2024-09-22 13:35:05.060,1.0,False
0 days 02:31:25.512000,NOR,0 days 00:01:37.734000,58.0,2.0,,,0 days 00:00:29.021000,0 days 00:00:41.423000,0 days 00:00:27.290000,0 days 02:30:16.788000,0 days 02:30:58.211000,0 days 02:31:25.501000,294.0,265.0,251.0,284.0,False,HARD,28.0,True,0 days 02:29:47.778000,2024-09-22 13:36:43.909,1.0,False
0 days 02:33:02.460000,NOR,0 days 00:01:36.948000,59.0,2.0,,,0 days 00:00:28.666000,0 days 00:00:41.127000,0 days 00:00:27.155000,0 days 02:31:54.167000,0 days 02:32:35.294000,0 days 02:33:02.449000,293.0,266.0,253.0,287.0,False,HARD,29.0,True,0 days 02:31:25.512000,2024-09-22 13:38:21.643,1.0,False
0 days 02:34:39.091000,NOR,0 days 00:01:36.631000,60.0,2.0,,,0 days 00:00:28.564000,0 days 00:00:40.969000,0 days 00:00:27.098000,0 days 02:33:31.013000,0 days 02:34:11.982000,0 days 02:34:39.080000,308.0,266.0,252.0,,False,HARD,30.0,True,0 days 02:33:02.460000,2024-09-22 13:39:58.591,1.0,False
0 days 02:36:15.911000,NOR,0 days 00:01:36.820000,61.0,2.0,,,0 days 00:00:28.686000,0 days 00:00:41.150000,0 days 00:00:26.984000,0 days 02:35:07.766000,0 days 02:35:48.916000,0 days 02:36:15.900000,293.0,266.0,253.0,286.0,False,HARD,31.0,True,0 days 02:34:39.091000,2024-09-22 13:41:35.222,1.0,False
0 days 02:37:53.833000,NOR,0 days 00:01:37.922000,62.0,2.0,,,0 days 00:00:28.662000,0 days 00:00:41.387000,0 days 00:00:27.873000,0 days 02:36:44.562000,0 days 02:37:25.949000,0 days 02:37:53.822000,,267.0,236.0,,False,HARD,32.0,True,0 days 02:36:15.911000,2024-09-22 13:43:12.042,1.0,False
